name,image,originalPrice,price,discount,ratingScore,review,location,description,brandName,inStock
RX580 8G AMD Gaming Graphics Card 8GB GDDR5 256BIT 2048SP,https://static-01.daraz.com.bd/p/89bd88f39c0c8ca3add8226dd0fbbf90.jpg,12814,8372,-0.35,Not Available,0,China,,No Brand,TRUE
Afox nvidia geforce gt610 2gb ddr3 AF610-2048D3L7,https://static-01.daraz.com.bd/p/a8c079e04038139384bd7c2437b6bdef.jpg,5900,5650,-0.04,Not Available,0,Bangladesh,"AFOX NVIDIA Geforce GT610 2GB DDR3 Graphics', 'Card', 'â–  NVIDIA GeForce GT610', 'â–  Bus Standard --> PCI Express 2.0', 'â–  Video Memory --> DDR3 2048MB', 'â–  Memory Clock --> 1100 MHz', 'â–  Memory Interface --> 64 bit', 'â–  DVI Output --> Yes X 1', 'â–  HDMI Output --> Yes X 1', 'â–  D-Sub Output --> Yes X 1'",No Brand,TRUE
Graphics Card Fan Bracket Companion Desktop Dual Fan Mount Black DIY Support,https://static-01.daraz.com.bd/p/4e969713c11dafef5da69ec9a4d6dbdd.jpg,918,656,-0.29,5,3,China,,No Brand,TRUE
Graphics Card GTX550Ti 6GB GPU GDDR5 192Bit Video Card HDMI-Compatible Game Video Card,https://static-01.daraz.com.bd/p/6d5b86c6b0a7335adfdb950cfd4b07a8.png,11034,7074,-0.36,Not Available,0,China,,No Brand,TRUE
GT210 1GB DDR2 64Bit Graphics Card PCIE 2.0 GPU HDMI-Compatible DVI VGA Desktop Video Card,https://static-01.daraz.com.bd/p/dbb57563961714639416dbd2607dc8c2.jpg,4107,2262,-0.45,Not Available,0,China,Model: GT210 1GB DDR2 64BitMemory Capacity: 1GBMemory Type: GDDR2Bus Width: 64 bitsInterface Type:PCI Express 2.0',No Brand,TRUE
For NVIDIA GeForce GTX750 TI 4GB GDDR5 128Bit PCI-ExpressX16 Video Graphics Card -,https://static-01.daraz.com.bd/p/fb26f71a64cae06d29cab5824c75a8b2.jpg,13079,13079,Not Available,1,1,China,"Reasonable price', 'Durable and practical', 'Top Sales Item'",No Brand,TRUE
PCI-E Riser 009S 1X 16x Extender PCI E USB Riser 009S Dual 6Pin Adapter Card SATA 15pin for BTC Miner r USB 3.0 Graphics Card,https://static-01.daraz.com.bd/p/8bbe4128e067835783ee2778f3fe5a29.jpg,805,630,-0.22,4,25,Bangladesh,,No Brand,TRUE
PCI-E Riser 009S 1X 16x Extender PCI E USB Riser 009S Dual 6Pin Adapter Card SATA 15pin for BTC Miner r USB 3.0 Graphics Card,https://static-01.daraz.com.bd/p/2bc29fe88c260c2892a3b9fe561e4761.jpg,790,660,-0.16,4.9,38,Bangladesh,,No Brand,TRUE
PELADN RX5500 XT for Amd Radeon 8GB GDDR6 Video Cards Gaming Card for AMD GPU Gaming Video Card,https://static-01.daraz.com.bd/p/eabc7f32037470b0e11ae21fee4791ad.png,22783,14861,-0.35,5,1,China,,No Brand,TRUE
PNY GeForce RTX 3050 8GB UPRISING Dual Fan GDDR6 Graphics Card,https://static-01.daraz.com.bd/p/e1e7fc622dc0cf18fe9eff898d5b5d83.png,43000,37950,-0.12,5,2,Bangladesh,,PNY,TRUE
PELADN Graphics Card GTX1660TI 6G Graphics Card GPU GDDR6 GeForce GTX 1660 Ti Computer Graphics Card GPU Desktop Computer Game Video Card,https://static-01.daraz.com.bd/p/0e3a0bfbf1200a3073b2e9cbb96b17d5.jpg,22830,22372,-0.02,Not Available,0,China,,No Brand,TRUE
HA Gtx1050Ti 1Gb Ddr5 Graphics Card 128Bit Game Video Card For Nvidia Pc Gaming-Black,https://static-01.daraz.com.bd/p/5de7c3476848a1721211d0ce1cb24c0b.jpg,11915,9165,-0.23,5,1,China,"1. PCI Express interface support 4GB of DDR5 memory to accelerate the most popular 3D games.', '2. Low noise and work quietly. Lower working temperature and higher efficiency.', '3. Durable material: This product is made of high quality metal+plastic material, durable and long service life.', 'Stream Processor: 128bit Memory type:GDDR5', 'Memory capacity: 4G Memory'",No Brand,TRUE
PELADN RX 550 4GB Graphics Card Desktop Computer Independent Graphics Card Gaming Video Card for BTC Miner Rig,https://static-01.daraz.com.bd/p/cc296846670711b5980747b913044677.jpg,15000,15000,Not Available,5,2,Bangladesh,"Product Category: Desktop Graphics Cards', 'Application: Desktop', 'Output Interface Type: DP+DVI+HDMI', 'Memory Clock(Mhz): 7000MHz'",No Brand,TRUE
GIGABYTE GT 710 DDR5 2GB GRAPHICS CARD,https://static-01.daraz.com.bd/p/6d3ddc2904e9669ec62ec531204d72d0.jpg,6800,6800,Not Available,5,1,Bangladesh,,Gigabyte,TRUE
RX580 8G AMD Gaming Graphics Card 8GB GDDR5 256BIT 2048SP,https://static-01.daraz.com.bd/p/89bd88f39c0c8ca3add8226dd0fbbf90.jpg,8712,8536,-0.02,Not Available,0,China,,No Brand,TRUE
AFOX NVIDIA Geforce GT730 4GB DDR3 Graphics  Card,https://static-01.daraz.com.bd/p/cb288581712fc99984c5eee7dac9f290.jpg,10000,10000,Not Available,5,2,Bangladesh,,No Brand,TRUE
PELADN RX 580 8GB GDDR5 Graphics Cards GPU Mining Video Card RX580 8G Computer Gaming Video Card,https://static-01.daraz.com.bd/p/4dc3a474915acc91cc750ae1ed8e70f6.png,20330,12588,-0.38,Not Available,0,China,,No Brand,TRUE
PCI-E 2 Port PCI Express Expansion Card 19-Pin Power Connector for Desktops PC 16 GB GDDR4 Graphics Card,https://static-01.daraz.com.bd/p/d4958bac29a094262f4a33044d7d1085.jpg,12199,12199,Not Available,5,1,Bangladesh,,No Brand,TRUE
"ASUS ROG STRIX NVIDIA GeForce RTX 3090 Gaming Graphics Card- PCIe 4.0, 24GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Axial-Tech Fan Design, 2.9-Slot",https://static-01.daraz.com.bd/p/33446abe3b8f1a593a74f26aa4047677.jpg,250000,250000,Not Available,Not Available,0,Bangladesh,"Graphics CoprocessorNVIDIA GeForce RTX 3090BrandASUSGraphics Ram Size24 GBGPU Clock Speed189 MHzVideo Output InterfaceDisplayPort, HDMI'",No Brand,TRUE
GT 1030 AERO ITX 2GD4 OC 4 GB GDDR4 Graphics Card,https://static-01.daraz.com.bd/p/de96253a5e6d9ca56d23e542fc7071ab.jpg,15050,15050,Not Available,5,1,Bangladesh,,No Brand,TRUE
"Graphics Card GPU Holder, VC-16 PLUS",https://static-01.daraz.com.bd/p/8d31bec69989cc5cbb6a6e8bbc37d667.png,1062,524,-0.51,5,1,China,,No Brand,TRUE
For NVIDIA GeForce GTX750 TI 4GB GDDR5 Computers 128Bit PCI-ExpressX16 Video Graphics Card -,https://static-01.daraz.com.bd/p/7be0e33a58d094f89f91c0cf3fe64349.jpg,13136,4769,-0.64,Not Available,0,China,"Reasonable price', 'Durable and practical', 'Top Sales Item'",No Brand,TRUE
New PCI-E pcie Riser 009 Express 1X 4x 8x 16x Extender PCI E USB Riser 009S Dual 6Pin Adapter Card SATA 15pin for BTC Miner,https://static-01.daraz.com.bd/p/421a9b1891e37ad15c847ced39161426.jpg,1000,850,-0.15,4.5,4,Bangladesh,,No Brand,TRUE
Graphics Card Desktop GT610 2GB DDR3,https://static-01.daraz.com.bd/p/a8c079e04038139384bd7c2437b6bdef.jpg,10000,10000,Not Available,5,1,Bangladesh,,No Brand,TRUE
GTX550TI Graphics Card 128Bit 2GB GDDR5 Desktop Computer Game HD Graphics Card PCIE 2.0 DVI-I VGA Video Card,https://static-01.daraz.com.bd/p/aa03371895d5ca0a225ad48717aacffc.jpg,9038,5869,-0.35,Not Available,0,China,,No Brand,TRUE
M.2 Nvme Ssd Adapter M2 To Pcie 3.0 X16 Controller Card M Key Interface Support Pci Express 3.0 X4 2230-2280 Size,https://static-01.daraz.com.bd/p/49d3a82df5fb28bb7bcb75ce04e1fb4c.jpg,692,670,-0.03,Not Available,0,China,"Type:Add On Cards,PCI To USB 2.0 Card,PCI To 1394 Card,PCI-E To USB 3.0 Card,PCI-E 4X To 16X Card,PCI-E 1X To 16X Card,PCI-E To M.2 Card,PCI Raid Card,PCI-E Raid Card,Diagnostic Card,PCI-E Graphic Card To Exteranl Card,PCI-E To USB 3.1 Card,MINI PCI-E To PCI-ECard,M.2 SSD To PCI-E', 'Model Number:TXB008', 'Product name: PCIE NVME m.2 SSD To PCIE X16 Expansion Card', ""Input interface: M-Key M.2 NVME ( Don't Support SATA Protocol m.2 NGFF)""",No Brand,TRUE
Graphics Card Desktop GT710 2GB PCI Express,https://static-01.daraz.com.bd/p/ca5a48875d95432607bfc88b4d598d09.jpg,7500,7500,Not Available,5,2,Bangladesh,,No Brand,TRUE
COOLMOON GT8 Graphics Card Bracket ARGB Computer Shenguang Synchronous Horizontal Chassis Decoration Fixed GPU Support Bracket,https://static-01.daraz.com.bd/p/f24a4860873900b3cef4ff4038d0895b.jpg,1212,1186,-0.02,Not Available,0,China,,No Brand,TRUE
Graphics Card GT730 4GB Graphics Card DDR3 128BIT Desktop Computer Graphics Card,https://static-01.daraz.com.bd/p/70d407904ba96c0044577eeeca31fba4.jpg,5502,5502,Not Available,Not Available,0,China,,No Brand,TRUE
Afox GeForce GT 240 1GB GDDR3 Graphics Card (AF240-1024D3L2),https://static-01.daraz.com.bd/p/aa3602fcb3cf25bebc0d9e9e7bd4076c.png,3700,3500,-0.05,Not Available,0,Bangladesh,,AFOX,TRUE
2-Digit Portable Computer PC Mini PCI PCI-E LPC Laptop Analyzer,https://static-01.daraz.com.bd/p/40fd59fd8c9f3c8ddfcc83e91c8022d1.jpg,1355,674,-0.5,Not Available,0,China,,No Brand,TRUE
GT730 4G Graphics Card 128Bit GDDR3 Discrete Graphics Card Desktop Computers Graphics Card,https://static-01.daraz.com.bd/p/82cef28adaaca5a1d160ec00b7c0a541.png,8068,5250,-0.35,Not Available,0,China,,No Brand,TRUE
GT730 image Card 64Bit GDDR3 GT 730 D3 Game Video Cards GeforceHDMI Dvi VGA Video Card,https://static-01.daraz.com.bd/p/69978d82eda2b43ddb71bc776cacfe39.jpg,7478,3141,-0.58,Not Available,0,China,"1.With an HDMI, you can connect to a TV to let you enjoy HD pictures.2.With a DVI, a VGA, can be connected to the monitor or the LCD screen can be used.3.Compatible with DDR3 high speed video memory.4.Fits for motherboard with PCI-E slot.5.Low  consumption.'",No Brand,TRUE
PELADN Graphic Card RTX 2060 Super 8GB GDDR6 Graphic Card 2060S RTX2060 Super Gaming Video Card,https://static-01.daraz.com.bd/p/6abad080fc5832bd77df719d35b0521f.jpg,68404,28335,-0.59,Not Available,0,China,,No Brand,TRUE
Graphics Card GTX550Ti 6GB GPU GDDR5 192Bit Computer Desktop Graphics Card HDMI-Compatible Game Video Card,https://static-01.daraz.com.bd/p/6d5b86c6b0a7335adfdb950cfd4b07a8.png,10834,6299,-0.42,Not Available,0,China,,No Brand,TRUE
"ARKTEK GRAPHICS CARD AKN610D3S2GL1,GT610 2G DDR3 64Bit",https://static-01.daraz.com.bd/p/e4b63ea0cd2082613fe708737431b2c5.jpg,4800,4600,-0.04,Not Available,0,Bangladesh,,ARKTEK,TRUE
Gigabyte GeForce GT 1030 Low Profile D4 2GB Graphics Card,https://static-01.daraz.com.bd/p/45522f2d016d0e7e3b9a6de6c18a2240.jpg,10500,10000,-0.05,Not Available,0,Bangladesh,"MPN: GV-N1030D4-2GL', 'Model: GT 1030 Low Profile D4 2GB', 'Memory Clock: 2100 MHz', 'Resolution: 4096 X 2160 ', 'Size: 2GB DDR4', 'DirectX: 12 Video Memory SpecificationsType: DDR4Size: 2 GBResolution: 4096 X 2160Core Clock: Base: 1177 MHz in OC modeBoost: 1417 MHzBase: 1151 MHz in Gaming modeBoost: 1379 MHzMemory Clock: 2100 MHzBUS Type: 64 bitCUDA Cores: 384InterfaceHDMI: HDMI-2.0b *1DVI: DVI-D *1Power SpecificationsRecommended PSU:300WDisplay OptionMulti Display: 2Application Programming InterfacesDirectX: 12OpenGL: 4.5Physical SpecificationsDimensions: 14.7 x 149.9 x 68.9mmWarrantyManufacturing Warranty: 2 Years'",Gigabyte,TRUE
GT730 image Card 64Bit GDDR3 GT 730 D3 Game Video Cards GeforceHDMI Dvi VGA Video Card,https://static-01.daraz.com.bd/p/34b88631b697fa3649b9ab3d8cfd27fd.jpg,4944,2908,-0.41,Not Available,0,China,"1.With an HDMI, you can connect to a TV to let you enjoy HD pictures.2.With a DVI, a VGA, can be connected to the monitor or the LCD screen can be used.3.Compatible with DDR3 high speed video memory.4.Fits for motherboard with PCI-E slot.5.Low  consumption.'",No Brand,TRUE
HDMI-Compatible Graphics Card Virtual Display Adapter for BTC Miner,https://static-01.daraz.com.bd/p/3809b52af90f4835cf3c969dac44fb88.jpg,675,406,-0.4,Not Available,0,China,,No Brand,TRUE
PELADN Graphic Card RTX 2060 Super 8GB GDDR6 Graphic Card GPU RTX2060S Gaming Video Card 2060S RTX2060 Super Gaming Video Card,https://static-01.daraz.com.bd/p/dbcefde1f7c9c1b861903434db53db19.jpg,27684,27129,-0.02,Not Available,0,China,,No Brand,TRUE
ATI Radeon Graphics Video Card p/n 102B6290200 000001,https://static-01.daraz.com.bd/p/705522b2b681aa0e6ed096c50e20d7ef.jpg,2500,2500,Not Available,Not Available,0,Bangladesh,P/N : 102B6290200 000001D/N : 0Y103DCN-0Y103D-73604-146-02NK-A00Made In ChinaP/N : 7123035100G(10A2)',No Brand,TRUE
GT210 1G DDR3 Graphics Card 64Bit 589MHZ 500MHZ DVI+VGA+HDMI-Compatible Video Card Replacement Accessories,https://static-01.daraz.com.bd/p/bcfe1272ffddf6d4359eae99164f8cb7.png,2255,2255,Not Available,Not Available,0,China,,No Brand,TRUE
GTX550Ti 2GB 128Bit GDDR5 Desktop Computer Graphic Card Discrete Graphics Card (1Pcs),https://static-01.daraz.com.bd/p/a3a4017690256c9d47c90cc9f60b23a6.png,5795,5795,Not Available,Not Available,0,China,,No Brand,TRUE
Desktop Computer PCI Graphics Card ATI Rage XL 8MB Tractor Card,https://static-01.daraz.com.bd/p/eba356456fad5eb1427776c69c9f24be.jpg,2349,1305,-0.44,Not Available,0,China,,No Brand,TRUE
Cimiva Graphics Card GT210 1GB 64bit DDR2 HDMI-compatible Memory Card With Fan-black,https://static-01.daraz.com.bd/p/87151397d3ea0afd01c7ff2e5086664a.jpg,4336,3268,-0.25,Not Available,0,China,"1. Multi-channel output interface: equipped with HDMI, VGA, DVI-D interface, supporting high-definition video. Comes with a DVI header and a VGA header for connecting a monitors or LCD screen.', '2. PWM intelligent temperature control radiator: The independent graphics card designed with PWM intelligent temperature control radiator greatly reduces the noise of the graphics card during operation.', '3. Smooth operation: Excellent frosted appearance, gold color fingers, exquisite floor, dual temperature-controlled fans, fast cooling, making the game graphics card run more smoothly and stably.', '4. Audio and video office optimization: Office software runs smoothly, office work is smooth, and there is no pressure to watch videos. Using an HDMI-compatible connector, you can connect your TV to enjoy high-definition pictures.', '5. Support large and small chassis: The graphics card has excellent performance, can support a variety of games to run perfectly, and supports a variety of chassis.'",Cimiva,TRUE
Gigabyte GTX 1660 supper 6G,https://bd-live-21.slatic.net/kf/S8f71252a7e864c80acd7f9a544dd3fe1b.jpg,25500,25500,Not Available,Not Available,0,Bangladesh,"Gigabyte GTX 1660 SUPER 6G(used) graphic cardTypeGDDR6Size6 GBResolution7680x4320@60HzCore Clock1830 MHz (Reference Card: 1785 MHz)Memory Clock14000 MHzBUS TypePCI-E 3.0 x 16CUDA Cores1408Powered by GeForce&reg; GTX 1660 SUPER&trade;', 'NVIDIA Turing&trade; architecture and GeForce Experience&trade;', 'Integrated with 6GB GDDR6 192-bit memory interface', 'WINDFORCE 2X Cooling System with alternate spinning fans', '90 mm unique blade fans', 'Protection Back Plate'",Gigabyte,TRUE
ASUS TUF Gaming X3 AMD Radeon RX 5600 XT (Triple Fan),https://static-01.daraz.com.bd/p/8d1356fb76f22f532d8433e603b6bdef.jpg,21000,21000,Not Available,Not Available,0,Bangladesh,"ASUS TUF Gaming X3 AMD Radeon RX 5600 XT (Triple Fan)', 'Interface: 1 HDMI + 3 DP Condition: up to 90% fresh (used)  warranty: 15 days replacement ', ' Price:- 23000/- ', ' Contact info:-  Shop Address: Multiplan Centre, Shop- 1104B, 1205 Dhaka, Bangladesh ', "" Mobile Or What's app: 01303136513 Or 01830267638 "", ' Facebook: FB page- fb/Zygotronix  ', '#lowestpriceGPU #gaming #upgradeyourcomputer #greatdeals #graphicscard #graphicscardforsell #lowpricegraphicscard #gpu #gpuforsell #lowpricegpu #5600xt #rx5600xt #asustufgaming5600xt'",ASUS,TRUE
GTX550TI Graphics Card 128Bit 2GB GDDR5 Desktop Computer Game HD Graphics Card PCIE 2.0 DVI-I VGA Video Card,https://static-01.daraz.com.bd/p/340850d243e6d80db75a3c122dd3f1cd.jpg,9301,4957,-0.47,Not Available,0,China,,No Brand,TRUE
Palit GeForce GT 730 2GB DDR3 Graphics Card,https://static-01.daraz.com.bd/p/765a3568665a6dfa30d91d8b025c574f.jpg,10500,10500,Not Available,Not Available,0,Bangladesh,"MPN: NEAT7300HD46-2080F', 'Model: GeForce GT 730', 'Memory Interface: 64bit', 'DRAM Type: DDR3', 'Graphics Clock: 902', 'CUDA Cores: 384'",Gigabyte,TRUE
PELADN 1 Pcs GTX1660 Super 6GB Gaming Video Card GeForce GTX 1660 Super 6G Graphics Cards Desktop Game Card Plastic New,https://static-01.daraz.com.bd/p/40f21731ae7e7f171d35252bf020545e.jpg,21901,21901,Not Available,Not Available,0,China,,No Brand,TRUE
ASUS TUF GAMING GeForce GTX 1660 Super 6GB GDDR6  Graphics Card,https://static-01.daraz.com.bd/p/5dade6cf6e3e7a5f0b4a9aaf7ff3a333.jpg,43000,39500,-0.08,Not Available,0,Bangladesh,,ASUS,TRUE
PNY GeForce GTX 1650 Dual-Fan 4GB GDDR6 Graphics Card,https://static-01.daraz.com.bd/p/5a584d749c377542497d1fc9eb1614f6.png,22499,22499,Not Available,Not Available,0,Bangladesh,Product details of PNY GeForce GTX 1650 Dual-Fan 4GB GDDR6 Graphics CardBrand: PNYModel: GeForce GTX 1650 Dual-Fan 4GBTuring ShadersNVIDIA GPU BoostState-Of-The-Art-GraphicsBest-In-Class Performance',No Brand,TRUE
ZOTAC GeForce GT 1030 2GB GDDR5 Graphics Card,https://static-01.daraz.com.bd/p/3b46c273d1a51e1c91364f61dd39185e.jpg,12500,12500,Not Available,Not Available,0,Bangladesh,,AFOX,TRUE
5V ARGB Sync Abyss Effect Computer Video Card Holder PC GPU VGA Graphic Card Support Stand Anti-Drop Bracket B,https://static-01.daraz.com.bd/p/aae397c5c96542fddf1b988a2aa42f68.png,3338,1669,-0.5,Not Available,0,China,,No Brand,TRUE
M.2 Nvme Ssd Adapter M2 To Pcie 3.0 X16 Controller Card M Key Interface Support Pci Express 3.0 X4 2230-2280 Size,https://static-01.daraz.com.bd/p/49d3a82df5fb28bb7bcb75ce04e1fb4c.jpg,1299,702,-0.46,Not Available,0,China,"Type:Add On Cards,PCI To USB 2.0 Card,PCI To 1394 Card,PCI-E To USB 3.0 Card,PCI-E 4X To 16X Card,PCI-E 1X To 16X Card,PCI-E To M.2 Card,PCI Raid Card,PCI-E Raid Card,Diagnostic Card,PCI-E Graphic Card To Exteranl Card,PCI-E To USB 3.1 Card,MINI PCI-E To PCI-ECard,M.2 SSD To PCI-E', 'Model Number:TXB008', 'Product name: PCIE NVME m.2 SSD To PCIE X16 Expansion Card', ""Input interface: M-Key M.2 NVME ( Don't Support SATA Protocol m.2 NGFF)""",No Brand,TRUE
PELADN RX 580 8GB GDDR5 Graphics Cards GPU Mining Video Card RX580 8G Computer Gaming Video Card Plastic Graphics Cards,https://static-01.daraz.com.bd/p/f0be1aa5a9ce98c8f07e330f01429484.jpg,27704,13534,-0.51,Not Available,0,China,,No Brand,TRUE
PELADN RTX 3080 10GB GDDR6X Graphic Card 10GB Video Cards for Gaming,https://static-01.daraz.com.bd/p/94cf4e702f694b9f08ab2904a08f12f3.png,174069,103613,-0.4,Not Available,0,China,,No Brand,TRUE
PCI-E 3.0 X16 Extension Cable+ Gaming Graphics Card Mounting Bracket,https://static-01.daraz.com.bd/p/d9ad77067251249e0cfb5da631212c4c.jpg,6012,3006,-0.5,Not Available,0,China,,No Brand,TRUE
"COOLMOON GT8 Vertical GPU Support Bracket,White",https://static-01.daraz.com.bd/p/3be53550fc8d43aeaca349eaeab2349b.jpg,2420,1254,-0.48,Not Available,0,China,,No Brand,TRUE
1 Piece GX-30 Graphics Card Bracket Jack Support Frame ITX Small Chassis Graphics Card Bracket Anti-Bending Bracket Medium,https://static-01.daraz.com.bd/p/f44941db7b46336e4565267578f8994f.jpg,709,405,-0.43,Not Available,0,China,,No Brand,TRUE
M.2 Nvme Ssd Adapter M2 To Pcie 3.0 X16 Controller Card M Key,https://static-01.daraz.com.bd/p/f857dca525b597348d737c4accfffcc3.png,1402,701,-0.5,Not Available,0,China,,No Brand,TRUE
GPU Stand Image Card Vertical Holder with PCI Express Extension Cable Fixed GPU PCI-E Built-in Vertical,https://static-01.daraz.com.bd/p/a2ac8eb9e97ebc191d8591659617f286.jpg,7060,2643,-0.63,Not Available,0,China,"Protect the Image card from sagging,build a personalized case.The supports the Image card to reduce the pressure on the motherboard and protect theImage card slot.With the help of extension cords, install the Image card vertically tomake it more beautiful and effectively change the physical deformation ofthe Image card sagging.'",No Brand,TRUE
